time_stamp,agent_id,agent_signature,target_id,target_signature,target_type,target_x,target_y,target_radius
4,2,2179358512118464,4,9607803236922248,2,240,261,8
7,2,2179358512118464,4,9607803236922248,2,246,263,8
10,2,2179358512118464,4,9607803236922248,2,248,264,8
13,2,2179358512118464,4,9607803236922248,2,245,268,8
16,2,2179358512118464,4,9607803236922248,2,244,274,8
20,2,2179358512118464,4,9607803236922248,2,234,276,8
23,2,2179358512118464,4,9607803236922248,2,233,277,8
26,2,2179358512118464,4,9607803236922248,3,230,272,8
30,2,2179358512118464,4,9607803236922248,3,226,273,8
33,2,2179358512118464,4,9607803236922248,3,221,277,8
36,2,2179358512118464,4,9607803236922248,3,221,277,8
40,2,2179358512118464,4,9607803236922248,3,214,276,8
43,2,2179358512118464,4,9607803236922248,3,213,275,8
47,2,2179358512118464,4,9607803236922248,3,211,279,8
51,2,2179358512118464,4,9607803236922248,3,204,277,8
54,2,2179358512118464,4,9607803236922248,3,203,273,8
57,2,2179358512118464,4,9607803236922248,3,196,275,8
262,2,2179358512118464,4,9607803236922248,3,65,235,8
265,2,2179358512118464,4,9607803236922248,3,63,231,8
268,2,2179358512118464,4,9607803236922248,3,62,229,8
272,2,2179358512118464,4,9607803236922248,3,63,224,8
275,2,2179358512118464,4,9607803236922248,3,66,223,8
303,2,2179358512118464,4,9607803236922248,3,65,191,8
313,2,2179358512118464,4,9607803236922248,3,65,181,8
317,2,2179358512118464,4,9607803236922248,3,65,180,8
320,2,2179358512118464,4,9607803236922248,3,67,177,8
323,2,2179358512118464,4,9607803236922248,3,68,175,8
327,2,2179358512118464,4,9607803236922248,3,65,170,8
331,2,2179358512118464,4,9607803236922248,3,69,167,8
335,2,2179358512118464,4,9607803236922248,3,62,162,8
339,2,2179358512118464,4,9607803236922248,3,65,159,8
342,2,2179358512118464,4,9607803236922248,3,64,154,8
346,2,2179358512118464,4,9607803236922248,3,67,154,8
350,2,2179358512118464,4,9607803236922248,3,65,146,8
352,2,2179358512118464,4,9607803236922248,3,63,145,8
4,2,2179358512118464,2,9248502270905266,0,105,225,17
7,2,2179358512118464,2,9248502270905266,0,105,225,17
10,2,2179358512118464,2,9248502270905266,0,105,225,17
13,2,2179358512118464,2,9248502270905266,0,105,225,17
16,2,2179358512118464,2,9248502270905266,0,105,225,17
26,2,2179358512118464,2,9248502270905266,0,105,225,17
30,2,2179358512118464,2,9248502270905266,0,105,225,17
33,2,2179358512118464,2,9248502270905266,0,105,225,17
36,2,2179358512118464,2,9248502270905266,0,105,225,17
40,2,2179358512118464,2,9248502270905266,0,105,225,17
43,2,2179358512118464,2,9248502270905266,0,105,225,17
47,2,2179358512118464,2,9248502270905266,0,105,225,17
51,2,2179358512118464,2,9248502270905266,0,105,225,17
54,2,2179358512118464,2,9248502270905266,0,105,225,17
57,2,2179358512118464,2,9248502270905266,0,105,225,17
61,2,2179358512118464,2,9248502270905266,0,105,225,17
64,2,2179358512118464,2,9248502270905266,0,105,225,17
67,2,2179358512118464,2,9248502270905266,0,105,225,17
70,2,2179358512118464,2,9248502270905266,0,105,225,17
74,2,2179358512118464,2,9248502270905266,0,105,225,17
78,2,2179358512118464,2,9248502270905266,0,105,225,17
81,2,2179358512118464,2,9248502270905266,0,105,225,17
85,2,2179358512118464,2,9248502270905266,0,105,225,17
88,2,2179358512118464,2,9248502270905266,0,105,225,17
91,2,2179358512118464,2,9248502270905266,0,105,225,17
94,2,2179358512118464,2,9248502270905266,0,105,225,17
98,2,2179358512118464,2,9248502270905266,0,105,225,17
101,2,2179358512118464,2,9248502270905266,0,105,225,17
104,2,2179358512118464,2,9248502270905266,0,105,225,17
108,2,2179358512118464,2,9248502270905266,0,105,225,17
111,2,2179358512118464,2,9248502270905266,0,105,225,17
114,2,2179358512118464,2,9248502270905266,0,105,225,17
118,2,2179358512118464,2,9248502270905266,0,105,225,17
121,2,2179358512118464,2,9248502270905266,0,105,225,17
125,2,2179358512118464,2,9248502270905266,0,105,225,17
128,2,2179358512118464,2,9248502270905266,0,105,225,17
131,2,2179358512118464,2,9248502270905266,0,105,225,17
134,2,2179358512118464,2,9248502270905266,0,105,225,17
138,2,2179358512118464,2,9248502270905266,0,105,225,17
141,2,2179358512118464,2,9248502270905266,0,105,225,17
145,2,2179358512118464,2,9248502270905266,0,105,225,17
148,2,2179358512118464,2,9248502270905266,0,105,225,17
151,2,2179358512118464,2,9248502270905266,0,105,225,17
155,2,2179358512118464,2,9248502270905266,0,105,225,17
158,2,2179358512118464,2,9248502270905266,0,105,225,17
161,2,2179358512118464,2,9248502270905266,0,105,225,17
165,2,2179358512118464,2,9248502270905266,0,105,225,17
168,2,2179358512118464,2,9248502270905266,0,105,225,17
173,2,2179358512118464,2,9248502270905266,0,105,225,17
176,2,2179358512118464,2,9248502270905266,0,105,225,17
179,2,2179358512118464,2,9248502270905266,0,105,225,17
182,2,2179358512118464,2,9248502270905266,0,105,225,17
185,2,2179358512118464,2,9248502270905266,0,105,225,17
188,2,2179358512118464,2,9248502270905266,0,105,225,17
192,2,2179358512118464,2,9248502270905266,0,105,225,17
195,2,2179358512118464,2,9248502270905266,0,105,225,17
