time_stamp,agent_id,agent_signature,target_id,target_signature,target_type,target_x,target_y,target_radius
0,-1,-1,0,1416613451854612,2,35,25,7
1,-1,-1,0,1416613451854612,2,36,26,7
2,-1,-1,0,1416613451854612,2,37,27,7
3,-1,-1,0,1416613451854612,2,38,28,7
4,-1,-1,0,1416613451854612,2,39,29,7
5,-1,-1,0,1416613451854612,2,40,30,7
6,-1,-1,0,1416613451854612,2,41,31,7
7,-1,-1,0,1416613451854612,2,42,32,7
8,-1,-1,0,1416613451854612,2,43,33,7
9,-1,-1,0,1416613451854612,2,44,34,7
10,-1,-1,0,1416613451854612,2,45,35,7
11,-1,-1,0,1416613451854612,2,46,36,7
12,-1,-1,0,1416613451854612,2,47,37,7
13,-1,-1,0,1416613451854612,2,48,38,7
14,-1,-1,0,1416613451854612,2,49,39,7
15,-1,-1,0,1416613451854612,2,50,40,7
16,-1,-1,0,1416613451854612,2,51,41,7
17,-1,-1,0,1416613451854612,2,52,42,7
18,-1,-1,0,1416613451854612,2,53,43,7
19,-1,-1,0,1416613451854612,2,54,44,7
20,-1,-1,0,1416613451854612,2,55,45,7
21,-1,-1,0,1416613451854612,2,56,46,7
22,-1,-1,0,1416613451854612,2,57,47,7
23,-1,-1,0,1416613451854612,2,58,48,7
24,-1,-1,0,1416613451854612,2,59,49,7
25,-1,-1,0,1416613451854612,2,60,50,7
26,-1,-1,0,1416613451854612,2,61,51,7
27,-1,-1,0,1416613451854612,2,62,52,7
28,-1,-1,0,1416613451854612,2,63,53,7
29,-1,-1,0,1416613451854612,2,64,54,7
30,-1,-1,0,1416613451854612,2,65,55,7
31,-1,-1,0,1416613451854612,2,66,56,7
32,-1,-1,0,1416613451854612,2,67,57,7
33,-1,-1,0,1416613451854612,2,68,58,7
34,-1,-1,0,1416613451854612,2,69,59,7
35,-1,-1,0,1416613451854612,2,70,60,7
36,-1,-1,0,1416613451854612,2,71,61,7
37,-1,-1,0,1416613451854612,2,72,62,7
38,-1,-1,0,1416613451854612,2,73,63,7
39,-1,-1,0,1416613451854612,2,74,64,7
40,-1,-1,0,1416613451854612,2,75,65,7
41,-1,-1,0,1416613451854612,2,76,66,7
42,-1,-1,0,1416613451854612,2,77,67,7
43,-1,-1,0,1416613451854612,2,78,68,7
44,-1,-1,0,1416613451854612,2,79,69,7
45,-1,-1,0,1416613451854612,2,80,70,7
46,-1,-1,0,1416613451854612,2,81,71,7
47,-1,-1,0,1416613451854612,2,82,72,7
48,-1,-1,0,1416613451854612,2,83,73,7
49,-1,-1,0,1416613451854612,2,84,74,7
50,-1,-1,0,1416613451854612,2,85,75,7
51,-1,-1,0,1416613451854612,2,86,76,7
52,-1,-1,0,1416613451854612,2,87,77,7
53,-1,-1,0,1416613451854612,2,88,78,7
54,-1,-1,0,1416613451854612,2,89,79,7
55,-1,-1,0,1416613451854612,2,90,80,7
56,-1,-1,0,1416613451854612,2,91,81,7
57,-1,-1,0,1416613451854612,2,92,82,7
58,-1,-1,0,1416613451854612,2,93,83,7
59,-1,-1,0,1416613451854612,2,94,84,7
60,-1,-1,0,1416613451854612,2,95,85,7
61,-1,-1,0,1416613451854612,2,95,86,7
62,-1,-1,0,1416613451854612,2,94,87,7
63,-1,-1,0,1416613451854612,2,93,88,7
64,-1,-1,0,1416613451854612,2,92,89,7
65,-1,-1,0,1416613451854612,2,91,90,7
66,-1,-1,0,1416613451854612,2,90,91,7
67,-1,-1,0,1416613451854612,2,89,92,7
68,-1,-1,0,1416613451854612,2,88,93,7
69,-1,-1,0,1416613451854612,2,87,94,7
70,-1,-1,0,1416613451854612,2,86,95,7
71,-1,-1,0,1416613451854612,2,85,96,7
72,-1,-1,0,1416613451854612,2,84,97,7
73,-1,-1,0,1416613451854612,2,83,98,7
74,-1,-1,0,1416613451854612,2,82,99,7
75,-1,-1,0,1416613451854612,2,81,100,7
76,-1,-1,0,1416613451854612,2,80,101,7
77,-1,-1,0,1416613451854612,2,79,102,7
78,-1,-1,0,1416613451854612,2,78,103,7
79,-1,-1,0,1416613451854612,2,77,104,7
80,-1,-1,0,1416613451854612,2,76,105,7
81,-1,-1,0,1416613451854612,2,75,106,7
82,-1,-1,0,1416613451854612,2,74,107,7
83,-1,-1,0,1416613451854612,2,73,108,7
84,-1,-1,0,1416613451854612,2,72,109,7
85,-1,-1,0,1416613451854612,2,71,110,7
86,-1,-1,0,1416613451854612,2,70,111,7
87,-1,-1,0,1416613451854612,2,69,112,7
88,-1,-1,0,1416613451854612,2,68,113,7
89,-1,-1,0,1416613451854612,2,67,114,7
90,-1,-1,0,1416613451854612,2,66,115,7
91,-1,-1,0,1416613451854612,2,65,116,7
92,-1,-1,0,1416613451854612,2,64,117,7
93,-1,-1,0,1416613451854612,2,63,118,7
94,-1,-1,0,1416613451854612,2,62,119,7
95,-1,-1,0,1416613451854612,2,61,120,7
96,-1,-1,0,1416613451854612,2,60,121,7
97,-1,-1,0,1416613451854612,2,59,122,7
98,-1,-1,0,1416613451854612,2,58,123,7
99,-1,-1,0,1416613451854612,2,57,124,7
100,-1,-1,0,1416613451854612,2,56,125,7
101,-1,-1,0,1416613451854612,2,55,126,7
102,-1,-1,0,1416613451854612,2,55,127,7
103,-1,-1,0,1416613451854612,2,55,128,7
104,-1,-1,0,1416613451854612,2,55,129,7
105,-1,-1,0,1416613451854612,2,55,130,7
106,-1,-1,0,1416613451854612,2,55,131,7
107,-1,-1,0,1416613451854612,2,55,132,7
108,-1,-1,0,1416613451854612,2,55,133,7
109,-1,-1,0,1416613451854612,2,55,134,7
110,-1,-1,0,1416613451854612,2,55,135,7
111,-1,-1,0,1416613451854612,2,55,136,7
112,-1,-1,0,1416613451854612,2,55,137,7
113,-1,-1,0,1416613451854612,2,55,138,7
114,-1,-1,0,1416613451854612,2,55,139,7
115,-1,-1,0,1416613451854612,2,55,140,7
116,-1,-1,0,1416613451854612,2,55,141,7
117,-1,-1,0,1416613451854612,2,55,142,7
118,-1,-1,0,1416613451854612,2,55,143,7
119,-1,-1,0,1416613451854612,2,55,144,7
120,-1,-1,0,1416613451854612,2,55,145,7
121,-1,-1,0,1416613451854612,2,55,146,7
122,-1,-1,0,1416613451854612,2,56,147,7
123,-1,-1,0,1416613451854612,2,57,148,7
124,-1,-1,0,1416613451854612,2,58,149,7
125,-1,-1,0,1416613451854612,2,59,150,7
126,-1,-1,0,1416613451854612,2,60,151,7
127,-1,-1,0,1416613451854612,2,61,152,7
128,-1,-1,0,1416613451854612,2,62,153,7
129,-1,-1,0,1416613451854612,2,63,154,7
130,-1,-1,0,1416613451854612,2,64,155,7
131,-1,-1,0,1416613451854612,2,65,156,7
132,-1,-1,0,1416613451854612,2,66,157,7
133,-1,-1,0,1416613451854612,2,67,158,7
134,-1,-1,0,1416613451854612,2,68,159,7
135,-1,-1,0,1416613451854612,2,69,160,7
136,-1,-1,0,1416613451854612,2,70,161,7
137,-1,-1,0,1416613451854612,2,71,162,7
138,-1,-1,0,1416613451854612,2,72,163,7
139,-1,-1,0,1416613451854612,2,73,164,7
140,-1,-1,0,1416613451854612,2,74,165,7
141,-1,-1,0,1416613451854612,2,75,166,7
142,-1,-1,0,1416613451854612,2,76,167,7
143,-1,-1,0,1416613451854612,2,77,168,7
144,-1,-1,0,1416613451854612,2,78,169,7
145,-1,-1,0,1416613451854612,2,79,170,7
146,-1,-1,0,1416613451854612,2,80,171,7
147,-1,-1,0,1416613451854612,2,81,172,7
148,-1,-1,0,1416613451854612,2,82,173,7
