2020-06-10 22:14:55,641 - Controller1 - INFO - time:0.80,x_mes:15.10,y_mes:-0.10,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.10,beta_target:0.44,x_command:-0.04,y_command:0.04,alpha_command:-1.00,beta_command:-1.00
2020-06-10 22:14:55,641 - Controller1 - INFO - time:0.80,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.10,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-1.00,beta_command:-1.00
2020-06-10 22:14:55,984 - Controller1 - INFO - time:1.15,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.09,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-1.00,beta_command:-1.00
2020-06-10 22:14:55,985 - Controller1 - INFO - time:1.15,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.09,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-1.00,beta_command:-1.00
2020-06-10 22:14:56,434 - Controller1 - INFO - time:1.60,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:14.75,y_target:0.25,alpha_target:2.27,beta_target:1.66,x_command:-0.10,y_command:0.10,alpha_command:-0.34,beta_command:1.00
2020-06-10 22:14:56,435 - Controller1 - INFO - time:1.60,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:14.75,y_target:0.25,alpha_target:2.27,beta_target:1.66,x_command:-0.10,y_command:0.10,alpha_command:-0.34,beta_command:1.00
2020-06-10 22:14:56,435 - Controller1 - INFO - time:1.60,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:14.75,y_target:0.25,alpha_target:2.27,beta_target:1.66,x_command:-0.10,y_command:0.10,alpha_command:-0.34,beta_command:1.00
2020-06-10 22:14:56,778 - Controller1 - INFO - time:1.94,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.29,beta_target:1.35,x_command:0.00,y_command:0.00,alpha_command:-0.25,beta_command:0.60
2020-06-10 22:14:56,779 - Controller1 - INFO - time:1.94,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.29,beta_target:1.35,x_command:0.00,y_command:0.00,alpha_command:-0.25,beta_command:0.60
2020-06-10 22:14:57,102 - Controller1 - INFO - time:2.26,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.34,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.07,beta_command:-1.00
2020-06-10 22:14:57,102 - Controller1 - INFO - time:2.26,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.34,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.07,beta_command:-1.00
2020-06-10 22:14:57,481 - Controller1 - INFO - time:2.64,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.40,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:0.16,beta_command:-1.00
