2020-06-10 22:24:42,519 - Controller1 - INFO - time:0.71,x_mes:15.10,y_mes:-0.10,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.05,beta_target:0.44,x_command:-0.04,y_command:0.04,alpha_command:-1.00,beta_command:-1.00
2020-06-10 22:24:42,520 - Controller1 - INFO - time:0.71,x_mes:15.00,y_mes:0.00,alpha_mes:2.20,beta_mes:1.01,x_target:15.00,y_target:0.00,alpha_target:2.05,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.59,beta_command:-1.00
2020-06-10 22:24:42,885 - Controller1 - INFO - time:1.07,x_mes:15.00,y_mes:0.00,alpha_mes:2.14,beta_mes:0.99,x_target:15.00,y_target:0.00,alpha_target:2.05,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.34,beta_command:-1.00
2020-06-10 22:24:42,889 - Controller1 - INFO - time:1.08,x_mes:15.00,y_mes:0.00,alpha_mes:2.08,beta_mes:0.95,x_target:15.00,y_target:0.00,alpha_target:2.05,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.13,beta_command:-1.00
2020-06-10 22:24:43,294 - Controller1 - INFO - time:1.48,x_mes:15.00,y_mes:0.00,alpha_mes:2.07,beta_mes:0.93,x_target:15.00,y_target:0.00,alpha_target:2.35,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:1.00,beta_command:-0.98
2020-06-10 22:24:43,295 - Controller1 - INFO - time:1.48,x_mes:15.00,y_mes:0.00,alpha_mes:2.22,beta_mes:0.89,x_target:15.00,y_target:0.00,alpha_target:2.35,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:0.49,beta_command:-0.91
2020-06-10 22:24:43,295 - Controller1 - INFO - time:1.48,x_mes:15.00,y_mes:0.00,alpha_mes:2.30,beta_mes:0.86,x_target:15.00,y_target:0.00,alpha_target:2.35,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:0.18,beta_command:-0.85
2020-06-10 22:24:43,619 - Controller1 - INFO - time:1.81,x_mes:15.00,y_mes:0.00,alpha_mes:2.30,beta_mes:0.86,x_target:15.00,y_target:0.00,alpha_target:2.30,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.02,beta_command:-0.85
2020-06-10 22:24:43,619 - Controller1 - INFO - time:1.81,x_mes:15.00,y_mes:0.00,alpha_mes:2.30,beta_mes:0.83,x_target:15.00,y_target:0.00,alpha_target:2.30,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.01,beta_command:-0.79
2020-06-10 22:24:43,970 - Controller1 - INFO - time:2.16,x_mes:15.00,y_mes:0.00,alpha_mes:2.30,beta_mes:0.81,x_target:15.00,y_target:0.00,alpha_target:2.36,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:0.23,beta_command:-0.75
2020-06-10 22:24:43,971 - Controller1 - INFO - time:2.16,x_mes:15.00,y_mes:0.00,alpha_mes:2.33,beta_mes:0.79,x_target:15.00,y_target:0.00,alpha_target:2.36,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:0.08,beta_command:-0.70
