2020-06-10 09:25:28,001 - Controller1 - INFO - time:4.93,x_mes:15.10,y_mes:-0.10,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.11,beta_target:0.44,x_command:-0.04,y_command:0.04,alpha_command:-0.99,beta_command:-1.00
2020-06-10 09:25:28,002 - Controller1 - INFO - time:4.93,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.11,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.99,beta_command:-1.00
2020-06-10 09:25:28,003 - Controller1 - INFO - time:4.94,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.11,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.99,beta_command:-1.00
2020-06-10 09:25:28,004 - Controller1 - INFO - time:4.94,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.11,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.99,beta_command:-1.00
2020-06-10 09:25:28,873 - Controller1 - INFO - time:5.81,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.20,beta_target:1.66,x_command:0.00,y_command:0.00,alpha_command:-0.63,beta_command:1.00
2020-06-10 09:25:28,875 - Controller1 - INFO - time:5.81,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.20,beta_target:1.66,x_command:0.00,y_command:0.00,alpha_command:-0.63,beta_command:1.00
2020-06-10 09:25:28,877 - Controller1 - INFO - time:5.81,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.20,beta_target:1.66,x_command:0.00,y_command:0.00,alpha_command:-0.63,beta_command:1.00
2020-06-10 09:25:28,878 - Controller1 - INFO - time:5.81,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.20,beta_target:1.66,x_command:0.00,y_command:0.00,alpha_command:-0.63,beta_command:1.00
2020-06-10 09:25:28,879 - Controller1 - INFO - time:5.81,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.20,beta_target:1.66,x_command:0.00,y_command:0.00,alpha_command:-0.63,beta_command:1.00
2020-06-10 09:25:29,773 - Controller1 - INFO - time:6.71,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.31,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.18,beta_command:-1.00
2020-06-10 09:25:29,773 - Controller1 - INFO - time:6.71,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.31,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.18,beta_command:-1.00
2020-06-10 09:25:29,774 - Controller1 - INFO - time:6.71,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.31,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.18,beta_command:-1.00
2020-06-10 09:25:29,774 - Controller1 - INFO - time:6.71,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.31,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.18,beta_command:-1.00
2020-06-10 09:25:29,775 - Controller1 - INFO - time:6.71,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.31,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.18,beta_command:-1.00
2020-06-10 09:25:30,424 - Controller1 - INFO - time:7.36,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.36,beta_target:0.66,x_command:0.00,y_command:0.00,alpha_command:0.01,beta_command:-0.78
2020-06-10 09:25:30,427 - Controller1 - INFO - time:7.36,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.36,beta_target:0.66,x_command:0.00,y_command:0.00,alpha_command:0.01,beta_command:-0.78
2020-06-10 09:25:30,427 - Controller1 - INFO - time:7.36,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.36,beta_target:0.66,x_command:0.00,y_command:0.00,alpha_command:0.01,beta_command:-0.78
2020-06-10 09:25:30,429 - Controller1 - INFO - time:7.36,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.36,beta_target:0.66,x_command:0.00,y_command:0.00,alpha_command:0.01,beta_command:-0.78
2020-06-10 09:25:31,296 - Controller1 - INFO - time:8.23,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.38,beta_target:1.03,x_command:0.00,y_command:0.00,alpha_command:0.11,beta_command:-0.04
2020-06-10 09:25:31,298 - Controller1 - INFO - time:8.23,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.38,beta_target:1.03,x_command:0.00,y_command:0.00,alpha_command:0.11,beta_command:-0.04
2020-06-10 09:25:31,300 - Controller1 - INFO - time:8.23,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.38,beta_target:1.03,x_command:0.00,y_command:0.00,alpha_command:0.11,beta_command:-0.04
2020-06-10 09:25:31,301 - Controller1 - INFO - time:8.23,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.38,beta_target:1.03,x_command:0.00,y_command:0.00,alpha_command:0.11,beta_command:-0.04
2020-06-10 09:25:31,302 - Controller1 - INFO - time:8.23,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.38,beta_target:1.03,x_command:0.00,y_command:0.00,alpha_command:0.11,beta_command:-0.04
2020-06-10 09:25:32,391 - Controller1 - INFO - time:9.32,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.38,beta_target:1.03,x_command:0.00,y_command:0.00,alpha_command:0.11,beta_command:-0.04
2020-06-10 09:25:32,392 - Controller1 - INFO - time:9.32,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.38,beta_target:1.03,x_command:0.00,y_command:0.00,alpha_command:0.11,beta_command:-0.04
2020-06-10 09:25:32,393 - Controller1 - INFO - time:9.33,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.38,beta_target:1.03,x_command:0.00,y_command:0.00,alpha_command:0.11,beta_command:-0.04
2020-06-10 09:25:32,400 - Controller1 - INFO - time:9.33,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.38,beta_target:1.03,x_command:0.00,y_command:0.00,alpha_command:0.11,beta_command:-0.04
2020-06-10 09:25:32,401 - Controller1 - INFO - time:9.33,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.38,beta_target:1.03,x_command:0.00,y_command:0.00,alpha_command:0.11,beta_command:-0.04
2020-06-10 09:25:32,402 - Controller1 - INFO - time:9.33,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.38,beta_target:1.03,x_command:0.00,y_command:0.00,alpha_command:0.11,beta_command:-0.04
2020-06-10 09:25:33,316 - Controller1 - INFO - time:10.25,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.38,beta_target:1.03,x_command:0.00,y_command:0.00,alpha_command:0.11,beta_command:-0.04
2020-06-10 09:25:33,340 - Controller1 - INFO - time:10.27,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.38,beta_target:1.03,x_command:0.00,y_command:0.00,alpha_command:0.11,beta_command:-0.04
